name,script_type,reference_doctype,doctype_event,api_method,script_len,creation,modified,modified_by
AIRA Helpdesk Report Test,API,,Before Insert,aira_helpdesk_report_test,7167,2026-04-28 13:59,2026-09-10 15:58,Administrator
aira_cap_probe,API,,Before Insert,aira_cap_probe,712,2026-08-15 16:21,2026-08-15 17:02,mohan@bitssecureit.com
aira_helpdesk_report_api,API,,Before Insert,aira_helpdesk_report_api,6977,2026-04-29 12:56,2026-05-10 09:22,mohan@bitssecureit.com
aira_sales_report_test,API,,Before Insert,aira_sales_report_test,1747,2026-05-08 21:17,2026-09-10 15:58,Administrator
attendance_api,API,,Before Insert,attendance_api,3861,2026-06-09 20:53,2026-08-18 12:41,mohan@bitssecureit.com
bsi_communication_classifier,DocType Event,Communication,Before Insert,,3237,2026-05-10 20:14,2026-05-10 20:28,mohan@bitssecureit.com
bsi_lead_after_insert_dispatch,DocType Event,Lead,After Insert,,1479,2026-05-10 20:14,2026-05-10 20:37,mohan@bitssecureit.com
bsi_lead_enricher_pre,DocType Event,Lead,Before Insert,,2202,2026-05-10 20:14,2026-05-10 20:28,mohan@bitssecureit.com
bsip_db_count_probe,API,,Before Insert,bsip_db_count_probe,2120,2026-07-31 21:02,2026-07-31 21:03,mohan@bitssecureit.com
bsip_eng002_timing_probe,API,,Before Insert,bsip_eng002_timing_probe,3497,2026-08-01 23:16,2026-08-01 23:16,mohan@bitssecureit.com
bsip_met004_vocab_probe,API,,Before Insert,bsip_met004_vocab_probe,5251,2026-07-31 22:58,2026-07-31 22:59,mohan@bitssecureit.com
bsip_met005_json_probe,API,,Before Insert,bsip_met005_json_probe,3660,2026-08-01 20:03,2026-08-01 20:04,mohan@bitssecureit.com
bsip_met005_vocab_probe,API,,Before Insert,bsip_met005_vocab_probe,7066,2026-08-01 19:13,2026-08-01 19:13,mohan@bitssecureit.com
bsip_metrics_run,API,,Before Insert,bsip_metrics_run,21334,2026-07-30 14:13,2026-08-04 09:01,mohan@bitssecureit.com
bsip_metrics_run Backup - 2026-07-31 21:07,API,,Before Insert,bsip_metrics_run_backup_20260731_2107,6182,2026-07-31 21:08,2026-07-31 21:08,mohan@bitssecureit.com
bsip_metrics_run Backup - 2026-07-31 22:44,API,,Before Insert,bsip_metrics_run_backup_20260731_2244,7054,2026-07-31 22:44,2026-07-31 22:44,mohan@bitssecureit.com
bsip_metrics_run Backup - 2026-08-01 19:48,API,,Before Insert,bsip_metrics_run_backup_202608011948,12600,2026-08-01 19:49,2026-08-01 19:49,mohan@bitssecureit.com
bsip_metrics_run Backup - 2026-08-01 22:37,API,,Before Insert,bsip_metrics_run_backup_202608012237,16824,2026-08-01 22:37,2026-08-01 22:37,mohan@bitssecureit.com
bsip_metrics_run Backup - 2026-08-01 23:00,API,,Before Insert,bsip_metrics_run_backup_202608012300,18095,2026-08-01 23:00,2026-08-01 23:00,mohan@bitssecureit.com
bsip_metrics_run Backup - 2026-08-01 23:29,API,,Before Insert,bsip_metrics_run_backup_202608012329,18095,2026-08-01 23:29,2026-08-01 23:29,mohan@bitssecureit.com
bsip_metrics_run Backup - undefined,API,,Before Insert,bsip_metrics_run_backup_20260801_1948_dup_naming_defect,12600,2026-08-01 19:48,2026-08-01 19:49,mohan@bitssecureit.com
bsip_platform_probe,API,,Before Insert,bsip_platform_probe,5067,2026-07-29 10:00,2026-07-29 12:37,mohan@bitssecureit.com
claude_helpdesk_reply,API,,Before Insert,claude_helpdesk_reply,1040,2026-04-28 11:53,2026-05-20 08:14,mohan@bitssecureit.com
dcs_ai_item_analysis,API,,Before Insert,dcs_ai_item_analysis,2081,2026-05-07 15:47,2026-08-18 12:49,mohan@bitssecureit.com
dcs_approval_authority_probe,API,,Before Insert,dcs_approval_authority_probe,2426,2026-08-08 17:37,2026-08-08 17:38,mohan@bitssecureit.com
dcs_award_reversal_guard_probe,API,,Before Insert,dcs_award_reversal_guard_probe,1074,2026-08-08 19:44,2026-08-08 19:44,mohan@bitssecureit.com
